name,serving_size_g,calories,protein_g,carbs_g,fat_g
Chapathi,40,80,3,15,1
Potato Kuruma,100,120,2,20,4
Brown rice,100,111,2.6,23,0.9
Grilled chicken,100,165,31,0,3.6
Paneer curry,100,320,18,8,25
Oats with banana,200,250,6,45,5
Boiled eggs,50,78,6.5,0.6,5.3
Idli,39,39,1.3,7.8,0.3
Sambar,150,70,3,10,1
Curd,100,60,3.5,4.7,3.3
Almonds,28,160,6,6,14
